datetime,medium,message,gender,age,late
5/2/14 22:37,facebook,Less than an hour and a half left here in Oregon. WHY ARE YOU PLAYING WITH MY EMOTIONS LIKE THIS?,male,19,
5/2/14 23:47,facebook,Happy birthday ya bisshhh,male,20,
5/2/14 22:27,facebook,Happy Birthday Mang!!!!!!,male,19,
5/2/14 20:30,facebook,Happy Birthday Bitch.,female,19,
5/2/14 22:00,facebook,whoa happy birthday man,male,20,
5/2/14 18:30,facebook,Happy birthday lad,male,20,
5/2/14 18:14,facebook,Happy birthday Jordan!,male,38,
5/2/14 17:58,facebook,"Happy birthday, jerdy",male,19,
5/2/14 17:50,facebook,Happy birthday kiddo! ;),male,38,
5/2/14 17:31,facebook,Happy birthday! I hope it was great and Jordan!,male,19,
5/2/14 16:58,facebook,hey,female,19,
5/2/14 16:37,facebook,Happy Birthday Jordan!!!! I hope everything is going well,female,19,
5/2/14 16:14,facebook,happy birthday Jordan,male,19,
5/2/14 16:06,facebook,"Happy birthday, Jaden! Say hi to your father Will Smith for me.",male,20,
5/2/14 14:24,facebook,"Happy Birthday Gensler, hope all is well. Sincerely, Mandinka Warrior #2035",male,19,
5/2/14 16:18,facebook,HAPPY BIRTHDAY!,female,21,
5/2/14 15:35,facebook,"Happy Birthday, Jordan! I hope your day is full of sunshine!",female,21,
5/2/14 15:46,facebook,happy birthday bitch,male,18,
5/2/14 12:24,facebook,HAPPY BIRTHDAY OMG!,female,19,
5/2/14 12:20,facebook,"Happy Birthday, sahib. To remind everyone just how musically talented you are, here's the hit single you wish could strike from your record.",male,19,
5/2/14 12:06,facebook,"Jordan, I wanted to wish you a happy day.",male,20,
5/2/14 13:07,facebook,Happy Birthday!,male,19,
5/2/14 9:59,facebook,HAPPY BIRTHDAY!,male,19,
5/2/14 8:58,facebook,Happy Birthday!!,female,45,
5/2/14 7:56,facebook,happy happy birthday!!! miss ya,female,30,
5/2/14 7:35,facebook,Happy Birthday Jordan! Have a great one!,male,45,
5/2/14 3:08,facebook,it's your birthday,male,20,
5/2/14 1:31,facebook,Yo. Happy Birthday.,female,20,
5/2/14 0:27,facebook,Happy Birthday Jordan!,male,19,
5/2/14 0:18,facebook,Happy birthday Jordan!!,female,19,
5/2/14 0:03,facebook,You still haven't wrote me my song. Happy early birthday you son of a bitch,male,19,
5/2/14 0:24,facebook,Happy Birthday!!!,male,21,
5/2/14 0:20,facebook,happy birthday jor dan,male,19,
5/2/14 0:14,facebook,Happy Birthday Punk,male,16,
5/2/14 0:00,facebook,Happy birthday Jordan!,male,18,
6/2/14 16:13,facebook,,female,45,yes
6/2/14 23:31,facebook,Happy birthday dude!!,male,35,yes
7/2/14 9:47,private,,male,31,yes
5/2/14 21:07,private,,female,20,
5/2/14 0:51,twitter,"you followin' me man? Cause your birthday sure seems to be. Happy (slightly early, perhaps) birthday, Jordan",male,21,
5/2/14 11:15,twitter,"Happy birthday, homie.",male,20,
5/2/14 0:00,private,,female,19,
5/2/14 23:18,private,,male,20,
5/2/14 7:11,private,,female ,45,
5/2/14 12:01,private,,male,45,
5/2/14 10:14,private,,female,19,
5/2/14 6:18,private,,female,19,
5/2/14,private,,female,20,
5/2/14 7:55,private,,male ,21,
9/2/14 19:50,facebook,Happy Birthday!,male,19,yes
